_id,roboFlyId,cost_type,costs_in_euro
COST_ITEM_ID_1,RoboFly_ID_1,INVESTMENT,25000,00
COST_ITEM_ID_10,RoboFly_ID_1,ENERGY,1.5279491549408917
COST_ITEM_ID_11,RoboFly_ID_1,ENERGY,4.300849772756166
COST_ITEM_ID_12,RoboFly_ID_1,ENERGY,3.6296965624876205
COST_ITEM_ID_13,RoboFly_ID_1,ENERGY,0.970386749560436
COST_ITEM_ID_14,RoboFly_ID_1,ENERGY,3.7373953647911806
COST_ITEM_ID_15,RoboFly_ID_1,ENERGY,0.7291705247395985
COST_ITEM_ID_16,RoboFly_ID_1,ENERGY,4.969091075920565
COST_ITEM_ID_17,RoboFly_ID_1,ENERGY,3.248547683560999
COST_ITEM_ID_18,RoboFly_ID_1,ENERGY,3.8396168060863243
COST_ITEM_ID_19,RoboFly_ID_1,ENERGY,4.314740859873991
COST_ITEM_ID_20,RoboFly_ID_1,ENERGY,4.723065334693897
COST_ITEM_ID_21,RoboFly_ID_1,ENERGY,0.9267785027037323
COST_ITEM_ID_22,RoboFly_ID_1,ENERGY,3.4312132747352666
COST_ITEM_ID_23,RoboFly_ID_1,ENERGY,3.8490025521454743
COST_ITEM_ID_24,RoboFly_ID_1,ENERGY,3.625452080605337
COST_ITEM_ID_25,RoboFly_ID_1,ENERGY,0.9276405056621858
COST_ITEM_ID_26,RoboFly_ID_1,ENERGY,2.711369398926658
COST_ITEM_ID_27,RoboFly_ID_1,ENERGY,3.0113707728871884
COST_ITEM_ID_28,RoboFly_ID_1,ENERGY,3.0079186650081873
COST_ITEM_ID_29,RoboFly_ID_1,ENERGY,4.21853092735838
COST_ITEM_ID_30,RoboFly_ID_1,ENERGY,3.021937412157632
COST_ITEM_ID_31,RoboFly_ID_1,ENERGY,0.5991170723721355
COST_ITEM_ID_32,RoboFly_ID_1,ENERGY,1.4729619400497205
COST_ITEM_ID_33,RoboFly_ID_1,ENERGY,1.2043131957595883
COST_ITEM_ID_34,RoboFly_ID_1,ENERGY,2.0392223834677723
COST_ITEM_ID_35,RoboFly_ID_1,ENERGY,0.9445408240212392
COST_ITEM_ID_36,RoboFly_ID_1,ENERGY,3.439292489424755
COST_ITEM_ID_37,RoboFly_ID_1,ENERGY,4.434297826916209
COST_ITEM_ID_38,RoboFly_ID_1,ENERGY,1.8630523807021173
COST_ITEM_ID_39,RoboFly_ID_1,ENERGY,4.247005371408674
COST_ITEM_ID_40,RoboFly_ID_1,ENERGY,1.152869357193258
COST_ITEM_ID_41,RoboFly_ID_1,ENERGY,2.670121848802678
COST_ITEM_ID_42,RoboFly_ID_1,ENERGY,2.7007191445304155
COST_ITEM_ID_43,RoboFly_ID_1,ENERGY,4.6826216076955856
COST_ITEM_ID_44,RoboFly_ID_1,ENERGY,3.7283831756912225
COST_ITEM_ID_45,RoboFly_ID_1,ENERGY,4.6970610977810265
COST_ITEM_ID_46,RoboFly_ID_1,ENERGY,4.446936145975301
COST_ITEM_ID_47,RoboFly_ID_1,ENERGY,1.8036291640460484
COST_ITEM_ID_48,RoboFly_ID_1,ENERGY,0.6340787585359995
COST_ITEM_ID_49,RoboFly_ID_1,ENERGY,3.736355299336963
COST_ITEM_ID_50,RoboFly_ID_1,ENERGY,0.9160925298156439
COST_ITEM_ID_51,RoboFly_ID_1,ENERGY,4.902854727493803
COST_ITEM_ID_52,RoboFly_ID_1,ENERGY,4.807468725056154
COST_ITEM_ID_53,RoboFly_ID_1,ENERGY,4.63024144000652
COST_ITEM_ID_54,RoboFly_ID_1,ENERGY,1.3897656318577019
